,Teff,Prot,Age,Mass
114902,6142.006481427386,15.07278155039214,6.161765590760312,1.08337
130016,6238.234959056272,9.632075214280695,3.4151454015407436,1.10192
77734,5843.242524433582,18.12141495271894,2.564075096658787,1.03427
109223,6033.716771315348,16.69967703369493,4.287142255912282,1.10235
129375,6247.0429439836025,12.32601038865955,3.838259170422421,1.01211
96333,6094.345519191281,14.508505682264703,6.372700296401953,1.1011
52767,5627.920368784551,25.951647429895402,4.987977159739196,0.88545
40575,5445.8445613190615,30.74232146276633,5.9392434239795175,0.89762
74728,5885.31181812354,11.501400397507998,1.1496536105616688,1.07838
137306,6362.429631727851,10.040782271054404,4.725334344042189,1.07061
134973,6375.417344315125,5.1672335750240705,5.143643905842986,1.10676
7327,4437.214637578311,24.48415188971379,3.028186917494713,0.72881
109462,6042.446182266435,16.36590062655152,2.687204498487259,1.14319
12245,4870.500158059718,33.80475175727129,6.509495038983397,0.7938
40777,5417.74046518461,31.268271703056822,6.3654358578150845,0.84472
101659,6072.226882357248,4.603846635242185,0.6224549208403292,1.01854
104411,6057.445102118203,14.964908621693612,3.5832907881806184,1.04657
7912,4514.265653596786,27.646019961180798,3.715939367138901,0.72262
25603,5270.798795301356,25.673978954842262,4.008559553462956,0.90345
116288,6177.875666023708,11.174322185166368,2.1306585008522134,1.0493
122132,6157.9477346720505,10.89928471204195,2.8527801083356614,1.24763
87159,5909.80681513287,20.839477273829512,5.309467813001373,1.03356
71890,5850.128632811375,17.44672392007977,4.8323725599165,1.22472
15821,5036.722052976123,0.27789795008776763,0.1984093291862396,0.87637
14048,4960.20996187577,16.916410755119756,2.243587189474038,0.76872
46940,5507.044012141451,15.797920199969534,1.9469364700835141,0.95351
80535,5847.657418302363,24.61173519092946,8.230962359714407,1.05266
95017,5943.885758142781,12.105623049533119,2.191023300429191,1.19948
136002,6300.9259272630925,7.821724184351844,2.3300599081145,1.25449
117071,6144.55391406658,12.87911026439662,3.6494242915634985,1.13927
